Company Name,Website,Type/Category,Geographic Coverage,Loan Size Range,Email/Phone,Products,Sectors Served,CITR Accredited,LinkedIn/Twitter,FCA Status,Notes,Source
FGI Finance,https://www.fgifinance.co.uk,Invoice Finance Broker,UK (National),Various,Contact via website,Invoice finance brokerage,SMEs,No,LinkedIn,Not lender - broker,Invoice finance broker,FundInvoice List
FI Capital,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Flex ABL,N/A,Asset Based Lending,UK (National),Various,Contact via website,"Asset based lending, invoice finance",SMEs,No,N/A,FCA Regulated,Asset based lending specialist,FundInvoice List
Flo Group,https://www.flogroup.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, back office solutions",SMEs,No,LinkedIn,FCA Regulated,Includes Flo Backoffice Solutions & Cash Flo,FundInvoice List
Funding Alternative,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Giant Finance+,https://www.giantfinanceplus.com,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,LinkedIn,FCA Regulated,Invoice and asset finance provider,FundInvoice List
Handelsbanken,https://www.handelsbanken.co.uk/business,Invoice Finance / Bank,"UK, International",Various,Contact via website,"Invoice finance, asset finance","SMEs, corporates",No,@Handelsbanken,FCA Regulated (Bank),Swedish bank with UK operations,FundInvoice List
HSBC Invoice Finance (UK),https://www.hsbc.co.uk/business,Invoice Finance / Bank,"UK, International",Various,Contact via website,"Invoice finance, export invoice finance, trade finance","All sizes, international traders",No,@HSBC_UK,FCA Regulated (Bank),Global bank with 200+ country expertise,FundInvoice List
Hydr,https://www.hydr.com,Invoice Finance / FX,"UK, International",Various,Apply online,"Invoice finance, FX, international payments, trade finance",International traders,No,@Hydr,FCA Regulated,Fintech for cross-border finance,FundInvoice List
IGF Group,https://www.igf.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, invoice discounting",SMEs,No,LinkedIn,FCA Regulated,Independent Growth Finance,FundInvoice List
Interface Financial Group (IFG),https://www.ifguk.com,Invoice Finance,"UK, International",Various,Contact via website,"Invoice finance, factoring",SMEs,No,LinkedIn,FCA Regulated,International invoice finance network,FundInvoice List
Investly,https://www.investly.co,Invoice Finance P2P,"UK, Europe",Various,Apply online,P2P invoice finance platform,SMEs,No,LinkedIn,FCA Regulated,P2P invoice financing platform,FundInvoice List
Investec Capital Solutions,https://www.investec.com,Invoice Finance / ABL,"UK, International",Large tickets,Contact via website,"Asset based lending, structured finance","Mid-market, corporate",No,@Investec,FCA Regulated,Formerly Amicus Commercial Finance (before 25/01/18),FundInvoice List
Financefair,https://www.financefair.co.uk,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,LinkedIn,FCA Regulated,Formerly InvoiceFair / Invoice Fair Limited,FundInvoice List
Jardine Norton,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
JMK Group,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Key Factors,N/A,Invoice Finance,UK (National),Various,Contact via website,"Factoring, invoice finance",SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Kriya,https://www.kriya.co.uk,Invoice Finance / Fintech,UK (National),£10k - £5m,Apply online,"Invoice finance, business loans, revenue finance",SMEs with invoices/recurring revenue,No,@KriyaFinance,FCA Regulated,"Formerly MarketFinance/MarketInvoice, leading fintech, top rated","FundInvoice List, Expert Market #1"
Leumi ABL,https://www.leumiuk.com,Asset Based Lending,UK (National),£1m - £50m,Contact via website,"Asset based lending, invoice finance","Mid-market, £5m+ turnover",No,LinkedIn,FCA Regulated,"Israeli bank UK operations, ABL specialist",FundInvoice List
Liquid Link,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Part of Liquid Friday Group,FundInvoice List
Lloyds Bank Commercial Finance,https://www.lloydsbank.com/business,Invoice Finance / Bank,UK (National),Various,Contact via website,"Invoice finance, asset based lending","SMEs, corporates",No,@AskLloydsBank,FCA Regulated (Bank),"Formerly Alex Lawrie Factors, includes Cash Friday",FundInvoice List
Metro Bank SME Finance,https://www.metrobank.co.uk/business,Invoice Finance / Bank,UK (National),Up to 90% advance,Contact via website,"Invoice finance, factoring",SMEs,No,@Metro_Bank,FCA Regulated (Bank),"Formerly SME Invoice Finance, zero cancellation penalties","FundInvoice List, Expert Market #4"
My Muse,N/A,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, innovation finance","SMEs, startups",No,N/A,FCA Regulated,"Muse Corporation trading as, includes Innovation Finance",FundInvoice List
Nucleus Commercial Finance,https://www.nucleuscommercial.com,Invoice Finance / MCA,UK (National),£3k - £300k,Apply online,"Invoice finance, merchant cash advance",SMEs,No,@NucleusComFin,FCA Regulated,Invoice finance and MCA provider,FundInvoice List
Novuna Business Cash Flow,https://www.novunabusinessfinance.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,@NovunaUK,FCA Regulated,Formerly Hitachi Capital,FundInvoice List
Optimum Finance,https://www.optimumfinance.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,LinkedIn,FCA Regulated,Became part of eCapital in October 2024,FundInvoice List
Panel Financial,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Paragon Bank Business Finance,https://www.paragonbankinggroup.co.uk,Invoice Finance / Bank,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,@ParagonBankPLC,FCA Regulated (Bank),Formerly Five Arrows/State Securities,FundInvoice List
Partnership Invoice Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Peak Cashflow,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Penny,https://www.penny.finance,Spot Factoring / Fintech,UK (National),Various,Apply online,Spot factoring - single invoice funding,"SMEs, freelancers",No,LinkedIn,FCA Regulated,Fintech spot factoring platform,FundInvoice List
Praetura Commercial Finance,https://www.praeturafinancialgroup.co.uk,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset based lending",SMEs,No,LinkedIn,FCA Regulated,Independent commercial finance provider,FundInvoice List
Pulse Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,"Formerly Pulse Cashflow Finance, MBO 15/04/25, includes Calverton Finance",FundInvoice List
Quba Solutions,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Qube Financing,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Raise,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,1ST PS Limited rebranded in 2022,FundInvoice List
RBS Invoice Finance,https://www.rbs.co.uk/business,Invoice Finance / Bank,UK (focus Scotland),Up to 90% advance,Relationship banking,"Invoice finance (FacFlow), export finance, trade finance","SMEs, exporters",No,@RBS_Help,FCA Regulated (Bank),"Part of NatWest Group, dedicated support","FundInvoice List, Expert Market #5"
Recruitment Funding Solutions,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance for recruitment,Recruitment agencies,No,N/A,FCA Regulated,Specialist recruitment sector finance,FundInvoice List
Redd Factors,N/A,Invoice Finance,UK (National),Various,Contact via website,"Factoring, invoice finance",SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Regency Factors,N/A,Invoice Finance,UK (National),Various,Contact via website,"Factoring, invoice finance",SMEs,No,N/A,FCA Regulated,Acquired Inksmoor/Acuity,FundInvoice List
Reward Finance Group,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Sallyport Commercial Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset based lending",SMEs,No,N/A,FCA Regulated,Commercial finance provider,FundInvoice List
Santander Invoice Finance,https://www.santander.co.uk/business,Invoice Finance / Bank,"UK, International",Various,Relationship banking,"Invoice finance, trade finance","SMEs, corporates",No,@santanderukhelp,FCA Regulated (Bank),Major bank invoice finance division,FundInvoice List
Satago,https://www.satago.com,Invoice Finance / Fintech,UK (National),Various,Apply online,"Invoice finance, credit management",SMEs,No,@SatagoUK,FCA Regulated,Fintech invoice finance platform,FundInvoice List
Secure Trust Bank Commercial Finance,https://www.securetrustbank.com,Invoice Finance / Bank,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,@SecureTrust,FCA Regulated (Bank),Part of Arbuthnot Banking Group,FundInvoice List
Select Invoice Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Selective invoice finance,SMEs,No,N/A,FCA Regulated,Selective invoice finance specialist,FundInvoice List
Shawbrook Bank,https://www.shawbrook.co.uk,Invoice Finance / Bank,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,@ShawbrookBank,FCA Regulated (Bank),Includes Centric Commercial Finance (acquired 2014),FundInvoice List
Shire Invoice Finance,https://www.fundyourinvoice.co.uk,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Also trading as FundYourInvoice,FundInvoice List
Silverburn Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Skipton Business Finance,https://www.skiptonbusinessfinance.co.uk,Invoice Finance,UK (National),Up to 90% advance,0800 0854150,"Invoice factoring, invoice discounting, white label, CHOCs",All sectors,No,@SkiptonBS,FCA Regulated,"Backed by Skipton Building Society, UK Finance member, interest-free options","FundInvoice List, Expert Market #3"
Sonovate,https://www.sonovate.com,Invoice Finance,UK (National),Up to 100% advance,Apply online,"Invoice finance for recruitment, back office outsourcing",Recruitment agencies,No,@Sonovate,FCA Regulated,Specialist recruitment back office and funding,"FundInvoice List, Expert Market #7"
Tandem Invoice Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Team Factors,N/A,Invoice Finance,UK (National),Various,Contact via website,"Factoring, invoice finance",SMEs,No,N/A,FCA Regulated,Acquired Apollo Business Finance 2024,FundInvoice List
Time Finance,https://www.timefinance.com,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, asset finance",SMEs,No,@TimeFinancePLC,FCA Regulated,Includes Gener8 Finance and Positive Cashflow Finance,FundInvoice List
Tradeplus24,https://www.tradeplus24.com,Invoice Finance,"UK, Europe",Various,Apply online,"Invoice finance, trade finance","Exporters, importers",No,LinkedIn,FCA Regulated,International trade and invoice finance,FundInvoice List
Triver,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Ultimate Finance Group,https://www.ultimatefinance.co.uk,Invoice Finance,UK (National),£25k - £1m,Contact via website,"Invoice finance, trade finance, asset finance",UK exporters and SMEs,No,N/A,FCA Regulated,"Includes Ashley Commercial/Ashley Finance, trade finance specialist",FundInvoice List
Virgin Money,https://uk.virginmoney.com/business,Invoice Finance / Bank,UK (National),Various,Contact via website,"Invoice finance, business banking",SMEs,No,@VirginMoney,FCA Regulated (Bank),Part of Nationwide Group,FundInvoice List
WeDo Finance,N/A,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
White Oak UK,https://www.whiteoakuk.com,Invoice Finance / ABL,"UK, International",£500k - £75m,Contact via website,"Asset based lending, invoice finance","Mid-market, corporate",No,LinkedIn,FCA Regulated,Global ABL and invoice finance provider,FundInvoice List
Workwell Outsourcing (EasyPay),N/A,Invoice Finance,UK (National),Various,Contact via website,"Invoice finance, payroll outsourcing",SMEs,No,N/A,FCA Regulated,Invoice finance with payroll services,FundInvoice List
Yoru Factor,N/A,Invoice Finance,UK (National),Various,Contact via website,"Factoring, invoice finance",SMEs,No,N/A,FCA Regulated,Invoice finance provider,FundInvoice List
Zodeq,https://www.zodeq.com,Invoice Finance / Fintech,UK (National),Various,Apply online,Invoice finance platform,SMEs,No,LinkedIn,FCA Regulated,Fintech invoice finance platform,FundInvoice List
Growth Lending,https://www.growthlending.com,Invoice Finance / SME Lender,UK (National),£50k - £2m,Apply online,"Invoice finance, business loans for growth","Growth SMEs, international businesses",No,LinkedIn,FCA Regulated,"Absorbed GapCap, specialist in growth finance","FundInvoice List, Expert Market #2"
Close Brothers Asset Finance,https://www.closeassetfinance.co.uk,Asset Finance,UK (National),£750k+ turnover min,Contact via website,"Asset finance, vehicle finance, equipment finance",All sectors,No,@CloseBrothers,FCA Regulated,"Award-winning, part of Close Brothers Group",Asset Finance Research
Lombard (NatWest),https://www.lombardcommercial.co.uk,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, vehicle finance, equipment leasing",All sectors,No,@NatWest_Help,FCA Regulated (Bank),"Part of NatWest Group, major UK asset finance provider",Asset Finance Research
Hitachi Capital (Novuna),https://www.novunabusinessfinance.co.uk,Asset Finance,UK (National),Various,Contact via website,"Asset finance, equipment finance, vehicle finance",All sectors,No,@NovunaUK,FCA Regulated,"Rebranded from Hitachi Capital, major asset finance provider",Asset Finance Research
Siemens Financial Services,https://www.siemensfinancialservices.co.uk,Asset Finance,UK (National),Various,0208 422 7101,"Equipment finance, IT finance, industrial equipment","Manufacturing, healthcare, infrastructure",No,LinkedIn,FCA Regulated,Global equipment finance specialist,Asset Finance Research
BNP Paribas Leasing Solutions,https://leasingsolutions.bnpparibas.co.uk,Asset Finance,"UK, Ireland",Various,Contact via website,"Equipment leasing, asset finance, sustainable finance",Multiple sectors,No,@BNPParibasLS_UK,FCA Regulated,"50 years UK experience, multi-award winning, focus on green finance",Asset Finance Research
De Lage Landen,https://www.delagelanden.com,Asset Finance,"UK, Global (30+ countries)",Various,01923 810039,"Vendor finance, equipment leasing, car leasing, factoring","Food, agribusiness, technology, healthcare",No,LinkedIn,FCA Regulated,"100% owned by Rabobank (AAA rated), global provider",Asset Finance Research
Aldermore Bank,https://www.aldermore.co.uk,Asset Finance / Bank,UK (National),Up to £25m,Contact via website,"Asset finance, invoice finance, trade finance",SMEs,No,@Aldermore,FCA Regulated (Bank),Challenger bank specializing in SMEs,Asset Finance Research
Shawbrook Bank,https://www.shawbrook.co.uk,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, equipment finance, commercial mortgages",SMEs,No,@ShawbrookBank,FCA Regulated (Bank),Includes Centric Commercial Finance,Asset Finance Research
Paragon Bank,https://www.paragonbankinggroup.co.uk,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, equipment finance",SMEs,No,@ParagonBankPLC,FCA Regulated (Bank),Major UK specialist bank,Asset Finance Research
Lloyds Bank Commercial Finance,https://www.lloydsbank.com/business,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, equipment finance, vehicle finance",All sectors,No,@AskLloydsBank,FCA Regulated (Bank),Major high street bank asset finance division,Asset Finance Research
Barclays Asset Finance,https://www.barclays.com,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, equipment finance, vehicle finance",All sectors,No,@Barclays,FCA Regulated (Bank),Major high street bank asset finance division,Asset Finance Research
HSBC Asset Finance,https://www.hsbc.co.uk/business,Asset Finance / Bank,"UK, International",Various,Contact via website,"Asset finance, equipment finance, export finance",All sectors,No,@HSBC_UK,FCA Regulated (Bank),Global bank asset finance division,Asset Finance Research
Santander Asset Finance,https://www.santander.co.uk/business,Asset Finance / Bank,"UK, International",Various,Contact via website,"Asset finance, equipment finance, structured finance",Multiple sectors,No,@santanderukhelp,FCA Regulated (Bank),Major bank with £5bn+ asset finance portfolio,Asset Finance Research
RBS Asset Finance,https://www.rbs.co.uk/business,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, equipment finance, structured finance",All sectors,No,@RBS_Help,FCA Regulated (Bank),Part of NatWest Group,Asset Finance Research
Secure Trust Bank Commercial Finance,https://www.securetrustbank.com,Asset Finance / Bank,UK (National),Various,Contact via website,"Asset finance, invoice finance",SMEs,No,@SecureTrust,FCA Regulated (Bank),Part of Arbuthnot Banking Group,Asset Finance Research
Bibby Financial Services,https://www.bibbyfinancialservices.com,Asset Finance,"UK, Europe, Asia",Various,0113 391 9100,"Asset finance, equipment leasing, invoice finance",Multiple sectors,No,@bibbyfs,FCA Regulated,"40+ years, family owned, large independent",Asset Finance Research
Shire Leasing,https://www.shireleasing.co.uk,Asset Finance,UK (National),£5k - £500k,01827 68939,"Equipment finance, IT, catering, furniture, telecoms",Multiple sectors,No,LinkedIn,FCA Regulated,"Both funder and broker, instant decisions, same day payouts",Asset Finance Research
Syscap,https://www.syscap.com,Asset Finance / IT Finance,UK (National),Various,0208 254 1806,"IT finance, technology leasing","All sectors, esp. tech",No,LinkedIn,FCA Regulated,"UK's leading independent IT finance provider, 15+ years",Asset Finance Research
Key Equipment Finance,https://www.kefonline.eu,Asset Finance,"UK, Europe",$14.9bn portfolio,01344 627470,"Technology equipment financing, vendor finance",Technology sector,No,LinkedIn,FCA Regulated,"Global company, 30+ years in leasing, $14.9bn portfolio",Asset Finance Research
Bluestone Leasing,https://www.bluestoneleasing.com,Asset Finance,UK (National),£1k - multi-million,01924 248800,"Technology finance, IT, telecoms, furniture, fit-out","Professional, private, public sector",No,LinkedIn,FCA Regulated,"4,000+ customers, 1,200+ partners, represents 25+ funders",Asset Finance Research
Reality Finance Solutions,https://www.realityfinance.com,Asset Finance / IT Finance,UK (National),Various,0845 170 4000,IT and hi-tech finance,Technology sector,No,LinkedIn,FCA Regulated,Leading IT finance provider,Asset Finance Research
Hanover Asset Finance,https://www.hfg.co.uk,Asset Finance,UK (National),Various,020 7902 8503,"Small and large ticket vendor finance, equipment finance",Multiple sectors,No,LinkedIn,FCA Regulated,Specialist in imaginative asset finance solutions,Asset Finance Research
Admiral Leasing,https://www.admiral-leasing.co.uk,Asset Finance,"UK, Ireland",£500 - any limit,0161 628 7008,"Vendor finance, equipment finance",All sectors,No,LinkedIn,FCA Regulated,Vendor finance packages for manufacturers and dealers,Asset Finance Research
Time Finance,https://www.timefinance.com,Asset Finance,UK (National),Various,Contact via website,"Asset finance, equipment finance, invoice finance",SMEs,No,@TimeFinancePLC,FCA Regulated,Includes Gener8 Finance,Asset Finance Research
Deutsche Leasing UK,https://www.deutscheleasing.co.uk,Asset Finance,UK (National),Various,01737 232900,"Equipment leasing, vendor finance",Multiple sectors,No,LinkedIn,FCA Regulated,Part of German Sparkassen-Finanzgruppe,Asset Finance Research
ING Lease UK,https://www.inglease.co.uk,Asset Finance,"UK, Europe (13 countries)",€13bn+ portfolio,0870 998 6100,"Equipment leasing, vendor finance",Multiple sectors,No,LinkedIn,FCA Regulated,Top 5 European leasing company,Asset Finance Research
Arbuthnot Commercial ABL,https://www.arbuthnotlatham.co.uk,Asset Based Lending,UK (National),£250k+,Contact via website,"Asset based lending, equipment finance",Mid-market businesses,No,@ArbuthnothLath,FCA Regulated,"Part of Arbuthnot Banking Group, launched 2018",Asset Finance Research
Leumi ABL,https://www.leumiuk.com,Asset Based Lending,UK (National),£1m - £50m,Contact via website,"Asset based lending, equipment finance","Mid-market, £5m+ turnover",No,LinkedIn,FCA Regulated,"Israeli bank UK operations, ABL specialist",Asset Finance Research
White Oak UK,https://www.whiteoakuk.com,Asset Based Lending,"UK, International",£500k - £75m,Contact via website,"Asset based lending, equipment finance","Mid-market, corporate",No,LinkedIn,FCA Regulated,Global ABL provider,Asset Finance Research
Investec Capital Solutions,https://www.investec.com,Asset Based Lending,"UK, International",Large tickets,Contact via website,"Asset based lending, structured finance","Mid-market, corporate",No,@Investec,FCA Regulated,Formerly Amicus Commercial Finance,Asset Finance Research
FAS Capital,https://www.fascap.co.uk,Asset Finance,UK (National),Small ticket,0845 456 4495,"Small ticket lease funding, sales aid schemes",Multiple sectors,No,LinkedIn,FCA Regulated,Works with UK lease brokers,Asset Finance Research
Manta Finance,https://mantafinance.com,Asset Finance,UK (National),Various,08701 211280,"Commercial finance, equipment leasing",Multiple sectors,No,LinkedIn,FCA Regulated,One-stop shop for commercial finance,Asset Finance Research
Cantora Leasing Services,https://www.cantora.co.uk,Asset Finance,UK (National),Various,01491 577655,"Office furniture, fit-out financing, franchise finance","Office, franchise sectors",No,LinkedIn,FCA Regulated,Asset finance intermediary specialist,Asset Finance Research
Pitney Bowes Finance,https://www.pitneybowes.co.uk,Asset Finance,UK (National),Various,08702 410860,"Equipment finance, technology finance",Multiple sectors,No,LinkedIn,FCA Regulated,Global equipment finance provider,Asset Finance Research
ECF Asset Finance,https://www.ecfgroup.co.uk,Asset Finance,UK (National),Various,01625 549652,"Equipment finance, property finance",SMEs,No,LinkedIn,FCA Regulated,Independent asset finance provider,Asset Finance Research
Merchant House Finance,https://www.merchanthousefinance.com,Asset Finance,UK (National),Various,020 7332 2200,"Equipment leasing, asset finance",Multiple sectors,No,LinkedIn,FCA Regulated,Transacting since 1994,Asset Finance Research
CIT Group UK,https://www.cit.com,Asset Finance,"UK, International",Various,01344 383784,"Equipment finance, vendor finance",Multiple sectors,No,LinkedIn,FCA Regulated,Global commercial finance provider,Asset Finance Research
Cisco Systems Capital,https://www.cisco.com,Asset Finance / IT Finance,"UK, International",Various,0208 824 1000,"Technology finance, network equipment",Technology sector,No,@Cisco,FCA Regulated,Focus on emerging markets,Asset Finance Research
Johnson & Johnson Finance,https://www.jnj.com,Asset Finance / Healthcare,UK (National),Various,01344 871199,Medical equipment finance,Healthcare sector,No,@JNJNews,FCA Regulated,Healthcare equipment finance specialist,Asset Finance Research
MAN Financial Services,https://www.manfinancialservices.co.uk,Asset Finance / Vehicle,UK (National),Various,01793 448182,"Commercial vehicle finance, printing press finance","Transport, printing",No,LinkedIn,FCA Regulated,MAN Group asset financing arm,Asset Finance Research
BMW Financial Services GB,https://www.bmw.co.uk/financial-services,Asset Finance / Vehicle,UK (National),Various,08705 050 120,"Vehicle finance, leasing",Automotive,No,@BMW_UK,FCA Regulated,BMW Group financial services,Asset Finance Research
Volkswagen Financial Services,https://www.vwfs.co.uk,Asset Finance / Vehicle,UK (National),Various,01908 485085,"Vehicle finance, leasing",Automotive,No,@VWFS_UK,FCA Regulated,VW Group financial services,Asset Finance Research
Kuflink,https://www.kuflink.com,Property Finance / Bridging,UK (National),£279m+ facilitated,Apply online,"Property bridging loans, development finance, P2P property","Property developers, investors",No,@Kuflink,FCA Regulated,"P2P property lending platform, fast bridging finance",Development Finance Research
Hope Capital,https://www.hopecapital.co.uk,Development Finance / Bridging,UK (National),Various,Contact via website,"Development finance, bridging loans, refurbishment finance",Property developers,No,@HopeCapitalLtd,FCA Regulated,Specialist property finance lender,Development Finance Research
Avamore Capital,https://www.avamorecapital.co.uk,Development Finance / Bridging,UK (National),Various,Contact via website,"Development finance, bridging loans",Property developers,No,LinkedIn,FCA Regulated,Specialist property finance lender,Development Finance Research
CapitalRise,https://www.capitalrise.com,Development Finance / Property,UK (National),£200m+ raised,Apply online (£1k min),"Development finance, property investment, P2P","Prime residential, commercial property",No,LinkedIn,FCA Regulated,"High-end real estate developments, strong returns",Development Finance Research
CrowdProperty,https://www.crowdproperty.com,Development Finance / P2P,UK (National),£800m+ funded,Apply online,"Property development loans, bridging finance, P2P","Property developers, 3,400+ homes built",No,@CrowdProperty,FCA Regulated,"P2P property lender, 7-8% investor returns, perfect repayment record",Development Finance Research
Proplend,https://www.proplend.com,Property Finance,UK (National),Various,Contact via website,"Commercial property loans, secured lending",Commercial property,No,LinkedIn,FCA Regulated,Commercial property lending specialist,Development Finance Research
Shojin,https://www.shojin.co.uk,Development Finance / Property,UK (National),Various,Apply online,"Development finance, mezzanine, equity stakes",Property developers,No,LinkedIn,FCA Regulated,Property crowdfunding platform,Development Finance Research
Together Money,https://www.togethermoney.com,Bridging / Specialist Finance,UK (National),Various,Contact via website,"Bridging loans, specialist mortgages, development finance","Property, specialists",No,@TogetherMoney,FCA Regulated,"Specialist lender, fast bridging loans",Development Finance Research
MT Finance,https://www.mtfinance.com,Bridging / Development,UK (National),Various,Contact via website,"Bridging loans, development finance, refurbishment",Property developers,No,LinkedIn,FCA Regulated,Specialist property finance,Development Finance Research
Funding 365,https://www.funding365.co.uk,Bridging / Development,UK (National),Various,Contact via website,"Bridging loans, development finance",Property investors,No,LinkedIn,FCA Regulated,Fast property finance,Development Finance Research
Fortwell Capital,https://www.fortwellcapital.co.uk,Development Finance,UK (National),Various,Contact via website,"Development finance, land finance",Property developers,No,LinkedIn,FCA Regulated,Specialist development finance,Development Finance Research
Octopus Real Estate,https://www.octopusrealestatelending.com,Development Finance,UK (National),Various,Contact via website,"Development finance, specialist property loans",Property developers,No,@OctopusLegacy,FCA Regulated,Part of Octopus Group,Development Finance Research
United Trust Bank,https://www.utbank.co.uk,Bridging / Development,UK (National),Various,Contact via website,"Bridging loans, development finance, commercial mortgages","Property, SMEs",No,@UnitedTrustBank,FCA Regulated (Bank),Specialist bank focused on SME and property,Development Finance Research
Hampshire Trust Bank,https://www.htb.co.uk,Bridging / Development,UK (National),Various,Contact via website,"Development finance, bridging, specialist mortgages",Property developers,No,@HampshireTrust,FCA Regulated (Bank),Specialist bank for property finance,Development Finance Research
Cynergy Bank,https://www.cynergybank.co.uk,Commercial Finance / Development,UK (National),Various,Contact via website,"Development finance, commercial mortgages, asset finance","Property, SMEs",No,@CynergyBank,FCA Regulated (Bank),Specialist bank for business and property,Development Finance Research
Masthaven Bank,https://www.masthaven.co.uk,Specialist Finance,UK (National),Various,Contact via website,"Specialist mortgages, bridging, development finance",Property specialists,No,@MasthavenBank,FCA Regulated (Bank),Specialist bank,Development Finance Research
OakNorth Bank,https://www.oaknorth.co.uk,Challenger Bank / SME Lender,UK (National),£500k - £50m,Apply online,"Business loans, property finance, AI-powered lending","SMEs, property",No,@OakNorth,FCA Regulated (Bank),"Leading SME bank, unicorn status, AI credit models",Challenger Bank Research
Allica Bank,https://www.allica.bank,Challenger Bank / SME,UK (National),Various,Apply online,"Business banking, savings, commercial mortgages, asset finance",Established SMEs,No,@AllicaBank,FCA Regulated (Bank),"£403m raised, launched 2019, focus on SMEs",Challenger Bank Research
ClearBank,https://www.clear.bank,Clearing Bank / B2B,UK (National),Various,Contact via website,"Clearing services, embedded banking, APIs","Fintechs, businesses",No,@ClearBank,FCA Regulated (Bank),"UK's first new clearing bank in 250+ years, £348m raised",Challenger Bank Research
Starling Bank,https://www.starlingbank.com,Challenger Bank,UK (National),Business banking,App-based,"Business accounts, loans, overdrafts","SMEs, startups",No,@StarlingBank,FCA Regulated (Bank),"Major digital bank, business banking strong",Challenger Bank Research
Monzo,https://www.monzo.com,Challenger Bank,UK (National),Business banking,App-based,"Business accounts, Monzo Flex","SMEs, freelancers",No,@Monzo,FCA Regulated (Bank),"£1.42bn raised, £4.56bn valuation, 2024",Challenger Bank Research
Revolut Business,https://www.revolut.com/business,Fintech / Challenger Bank,"UK, Global",Business accounts,App-based,"Business accounts, multi-currency, expense management","SMEs, international businesses",No,@RevolutApp,FCA Regulated,"£1.27bn raised, UK's most valuable fintech",Challenger Bank Research
